Question,Answer,reference,Metadata,Text,意图分类
响应方提交的电子投标保函和电子履约保函是否会被限制或拒收？,不会。响应方按照交易文件、合同等要求提交的由金融机构签发并已生效的电子投标保函、电子履约保函，发起方和交易中心不得限制或拒收。,第二十二条（电子保函）响应方可以按照交易文件、合同等要求，提交由金融机构签发并已生效的电子投标保函、电子履约保函，发起方、交易中心不得限制或者拒收。,"{'title': '上海市公共资源交易管理办法', 'time': '发布时间：2021-10-26', 'infosource': '信息来源：国家'}",第十八条（数字身份认证）本市公共资源交易通过电子证照、数字证书等方式，对发起方、响应方（以下统称交易主体）、中介机构以及评标评审专家实行统一数字身份认证。前款所称发起方包括招标人、采购人、转让方、委托人等；响应方包括投标人、供应商、受让方、竞买人等。第十九条（委托代理协议）交易主体委托代理机构办理交易的，应当签订委托代理协议。委托代理协议应当通过市交易平台签订或者上传。第二十条（统一在线登记）市交易平台应当为交易主体提供统一的在线受理、信息登记和交易项目登记等服务。第二十一条（交易信息发布与响应）发起方发布交易公告、交易文件、交易结果等交易信息的，应当通过市交易平台进行。发起方在其他媒介发布交易信息的，应当与在市交易平台发布的时间、内容等保持一致。响应方可以通过市交易平台在线响应。第二十二条（电子保函）响应方可以按照交易文件、合同等要求，提交由金融机构签发并已生效的电子投标保函、电子履约保函，发起方、交易中心不得限制或者拒收。交易主体可以通过市交易平台申请开具电子投标保函、电子履约保函，市交易中心不得向交易主体指定金融机构。发起方可以委托交易中心代收、代付、代退和管理交易保证金。第二十三条（在线场所预约）发起方、代理机构可以通过市交易平台在线预约交易场所，在交易中心进行开标、评标评审、拍卖等活动。第二十四条（在线专家抽取）公共资源交易事项需要进行评标评审的，应当通过市交易平台，从本市公共资源交易综合专家库中随机抽取专家。本市公共资源交易综合专家库不能提供符合评标评审需求的专家的，可以按照有关法律、法规、规章的规定，从国家或者其他省市专家库抽取。第二十五条（电子开标）公共资源交易采用电子开标方式的，发起方应当按照交易文件确定的时间，通过交易平台公开进行。第二十六条（电子评标评审）交易平台应当提供在线评标评审服务。评标评审专家可以通过交易平台进行评标评审和提交评标评审报告。,招中标知识
在公共资源交易中，失信主体和守信主体分别会受到哪些具体的影响？,失信主体将依法被限制或禁止参加公共资源交易活动，具体措施包括列入黑名单、取消投标资格等。守信主体则会获得信用加分、提升信用等次等激励措施，如优先推荐、简化审批流程等，以鼓励诚信行为。,"第五章,监督管理第二十九条 建立信用联合激励和惩戒机制，对失信主体依法限制或禁止其参加公共资源交易活动，对守信主体，在公共资源交易活动中，给予信用加分、提升信用等次等激励措施。","{'title': '上海市发展和改革委员会、上海市财政局、上海市住房和城乡建设管理委员会等关于印发《上海市公共资源交易平台管理暂行办法》的通知(2020修订)', 'time': '发布时间：2020-12-10', 'infosource': '信息来源：国家'}","第五章,监督管理第二十四条 市发展改革部门会同行业主管部门建立数据质量评价机制。第二十五条 市公共资源交易平台及其交易分平台升级改造，应当报经上海市公共资源交易整合共享工作协调机制审议后实施。第二十六条 行业主管部门应当遵循有关法律法规和交易规则，按照规定的职责分工加强对公共资源交易活动的事中事后监督，依法查处违法违规行为，实现公共资源交易公开、公平、公正，阳光操作。对利用职权违规干预和插手公共资源交易活动的国家机关或国有企事业单位工作人员，依纪依法予以处理。监察部门依法对公共资源交易、平台运行和相关部门履行职责情况实施监督监察。审计部门应当对公共资源交易平台运行依法开展审计监督。行业主管部门依法履行监督管理职责过程中，有权查阅、复制公共资源交易活动有关文件、资料和数据。公共资源交易服务机构应当如实提供相关情况。第二十七条 公共资源交易平台应当畅通渠道，接受市场主体或社会公众对公共资源交易活动以及项目单位或其代理机构、竞争主体的监督。建立由市场主体以及第三方参与的社会评价机制，对本市公共资源交易服务机构提供公共服务情况进行评价。市场主体或社会公众认为公共资源交易活动侵犯其合法权益的，或公共资源交易服务机构及其工作人员存在违法违规现象的，可以向有关行业主管部门或对公共资源交易负有监督职责的部门投诉、举报。第二十八条 公共资源交易领域的行业协会应当发挥行业组织作用，加强行业自律管理和服务。第二十九条 建立信用联合激励和惩戒机制，对失信主体依法限制或禁止其参加公共资源交易活动，对守信主体，在公共资源交易活动中，给予信用加分、提升信用等次等激励措施。第六章法律责任。第三十条公共资源交易服务机构未公开服务内容、服务流程、工作规范、收费标准和监督渠道，未按规定交换有关信息的，由行业主管部门责令其限期整改，拒不整改的，予以通报批评。",政策知识
综合监管系统在公共资源交易中扮演什么角色？,综合监管系统通过与行业主管部门监管系统互联互通，负责公共资源交易数据的统计分析、监测预警和综合利用，能够及时发现并自动预警围标串标、弄虚作假等违法违规行为，确保交易的公平公正。,综合监管系统实现与行业主管部门监管系统互联互通，加强公共资源交易数据的统计分析、监测预警和综合利用，及时发现、自动预警和依法处理围标串标、弄虚作假等违法违规行为。,"{'title': '上海市发展和改革委员会关于印发《上海市公共资源交易平台升级改造工作方案》的通知', 'time': '发布时间：2020-12-10', 'infosource': '信息来源：国家'}",建立分类统一的交易规则、数据标准、场所标准、专家管理办法以及交易服务流程，提供标准化的见证、场所、信息、档案、专家抽取等服务。完善本市公共资源交易平台管理办法，适时启动制定市政府规章《上海市公共资源交易管理办法》。2．统一平台。建立“一网三平台”运作模式，推进交易服务、管理与监督职能相互分离。实现市公共资源交易目录范围内所有交易系统“进一网、能通办”，建设综合交易、综合服务、综合监管三个子系统。同步升级改造市公共资源交易平台及其交易分平台，分平台的升级改造要服从服务于总平台的需要。综合交易系统既是总门户、实现在线一门式服务，也可为不在已有交易分平台服务范围内的各类公共资源交易提供服务。综合服务系统是向市场主体提供公共服务的枢纽，实现统一对外提供信息发布、场所提供、专家抽取、现场见证、档案管理等服务。综合监管系统实现与行业主管部门监管系统互联互通，加强公共资源交易数据的统计分析、监测预警和综合利用，及时发现、自动预警和依法处理围标串标、弄虚作假等违法违规行为。3．统一管理。制定公共资源交易监管权力和责任清单。建立本市公共资源交易整合共享工作协调机制，负责协同推进全市公共资源交易整合共享工作。市发展改革委作为市公共资源交易平台综合管理部门，负责统筹协调推进整合共享和综合监管工作。各交易行业主管部门按照行业监管要求各司其职、各负其责，加强行业领域公共资源交易监管。二、基本原则1．博采众长、重塑架构。参照兄弟省市成熟经验做法，对标最高标准、最好水平，同时体现上海特点，充分发挥市场在公共资源配置中的决定性作用，更好地发挥政府作用，完善市公共资源交易平台管理架构。2．统筹兼顾、协同推进。既要建立完善市公共资源交易平台“一网三平台”的运作模式，也要推动交易分平台按照统一标准全面升级改造。3．循序渐进、先易后难。,政策知识
上海市发展改革委在碳排放核查第三方机构管理中的职责是什么？,上海市发展改革委负责对核查机构进行备案管理，制定核查工作规则，建立并向社会公开核查机构名录，同时监督核查机构、核查人员及其碳排放核查工作。,市发展改革委负责对核查机构进行备案管理，制定核查工作规则，建立向社会公开的核查机构名录，并对核查机构、核查人员及其碳排放核查工作进行监督。,"{'title': '上海市发展和改革委员会关于印发《上海市碳排放核查第三方机构管理暂行办法》的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：上海市'}",（沪发改环资〔2014〕5号）各有关单位：根据《上海市碳排放管理试行办法》（沪府令10号）有关规定和要求，我委组织制定了《上海市碳排放核查第三方机构管理暂行办法》，现予以印发。特此通知。附：《上海市碳排放核查第三方机构管理暂行办法》上海市发展和改革委员会二〇一四年一月十日附件：上海市碳排放核查第三方机构管理暂行办法。第一条（目的和依据）根据《上海市碳排放管理试行办法》和《上海市人民政府关于开展本市碳排放交易试点工作的实施意见》等有关规定和要求，为建立公开、公平、公正的碳排放核查第三方机构管理制度，制定本办法。第二条（适用范围）本市行政区域内纳入碳排放配额管理单位的碳排放核查活动，以及核查机构和核查人员的管理，适用本办法。第三条（定义）本办法所称碳排放核查第三方机构（以下简称“核查机构”），是指具有一定的资格和能力，根据规定的核查规则、技术标准和程序要求，对本市纳入配额管理的单位提交的碳排放报告开展核查，出具独立的核查报告并承担相应责任的专业机构。第四条（管理部门）市发展改革委负责对核查机构进行备案管理，制定核查工作规则，建立向社会公开的核查机构名录，并对核查机构、核查人员及其碳排放核查工作进行监督。第五条（申报条件）市发展改革委负责受理核查机构备案申请，并按照公开、自愿的原则组织申报。,政策知识
哪些单位和活动适用于《上海市碳排放核查第三方机构管理暂行办法》？,适用于《上海市碳排放核查第三方机构管理暂行办法》的是本市行政区域内纳入碳排放配额管理单位的碳排放核查活动，以及核查机构和核查人员的管理。,本市行政区域内纳入碳排放配额管理单位的碳排放核查活动，以及核查机构和核查人员的管理，适用本办法。,"{'title': '上海市发展和改革委员会关于印发《上海市碳排放核查第三方机构管理暂行办法》的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：上海市'}",（沪发改环资〔2014〕5号）各有关单位：根据《上海市碳排放管理试行办法》（沪府令10号）有关规定和要求，我委组织制定了《上海市碳排放核查第三方机构管理暂行办法》，现予以印发。特此通知。附：《上海市碳排放核查第三方机构管理暂行办法》上海市发展和改革委员会二〇一四年一月十日附件：上海市碳排放核查第三方机构管理暂行办法。第一条（目的和依据）根据《上海市碳排放管理试行办法》和《上海市人民政府关于开展本市碳排放交易试点工作的实施意见》等有关规定和要求，为建立公开、公平、公正的碳排放核查第三方机构管理制度，制定本办法。第二条（适用范围）本市行政区域内纳入碳排放配额管理单位的碳排放核查活动，以及核查机构和核查人员的管理，适用本办法。第三条（定义）本办法所称碳排放核查第三方机构（以下简称“核查机构”），是指具有一定的资格和能力，根据规定的核查规则、技术标准和程序要求，对本市纳入配额管理的单位提交的碳排放报告开展核查，出具独立的核查报告并承担相应责任的专业机构。第四条（管理部门）市发展改革委负责对核查机构进行备案管理，制定核查工作规则，建立向社会公开的核查机构名录，并对核查机构、核查人员及其碳排放核查工作进行监督。第五条（申报条件）市发展改革委负责受理核查机构备案申请，并按照公开、自愿的原则组织申报。,政策知识
企业进行网络同步拍卖需要配备哪些硬件设施和网络环境？,企业进行网络同步拍卖需要配备适应网络拍卖的拍卖场地，以及必需的电脑、投影、音视频发布等硬件设施，并且需要具备符合条件的网络环境，以确保拍卖过程的顺利进行。,二是落实网络同步拍卖设施配套。企业应用网络同步拍卖，必须拥有适应网络拍卖的拍卖场地，配置必需的电脑、投影、音视频发布等硬件设施，并且具备符合条件的网络环境。,"{'title': '上海市商务委、市工商局关于印发《关于建设拍卖公共平台推进网络同步拍卖的指导意见》的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：上海市'}",二、重点工作（一）工作目标在各有关部门监督管理下，以企业发展、市场需求为主导，加快公共平台的建设和功能提升，发挥公共平台的信息发布、促进交易和辅助监管的联动效应，力争在2011年上半年内，率先在公共资源拍卖领域中应用网络同步拍卖，2011年年底前拓展到机动车、文物艺术品等专业拍卖等领域。（二）具体措施1、加强拍卖行业规范。一是做好网络拍卖规范的基础工作。深入开展课题研究，完善与网络同步拍卖系统配套的网络同步拍卖规则、网络同步拍卖流程等相应的规章制度，满足各拍卖当事人的需求。市拍卖行业协会制定推进网络同步拍卖的规划，形成较全面的推进方案，引导企业落实和应用；二是规范拍卖公告发布行为。公共资源的拍卖，必须在主流媒体和市拍卖行业协会网站发布拍卖公告，同时在网络拍卖公共平台发布拍卖公告并展示拍卖标的，实现信息公开最大化。2、推进公共平台体系建设。一是做好公共平台功能衔接。充分发挥现有平台优势，不断完善服务和管理功能，提升数据交互能力，将行业统计、数据分析、主管部门的年检督查等功能融入平台管理，同时，满足工商、法院、海关、公安等部门通过网络平台开展有关管理工作的需求，进一步提高拍卖服务质量和工作水平；二是落实网络同步拍卖设施配套。企业应用网络同步拍卖，必须拥有适应网络拍卖的拍卖场地，配置必需的电脑、投影、音视频发布等硬件设施，并且具备符合条件的网络环境；三是加强公共平台的管理维护工作。加强网络拍卖安全管理与维护，细化防范措施和应急预案，防范恶意攻击，保障正常的拍卖秩序。3、做好培训和宣传。一是加强专业人才培养。组织网络拍卖技术应用专题培训，提高拍卖管理人员、技术人员及拍卖师等从业人员对实施网络拍卖意义的认识，了解网络拍卖的规则和流程，熟练掌握网络拍卖技术在拍卖活动中的应用；二是加强宣传和引导。,政策知识
上海市公共资源拍卖活动的监管部门有哪些？,上海市公共资源拍卖活动的监管部门包括上海市商务委员会、上海市经济和信息化委员会、上海市市场监督管理局、上海市公安局、上海市财政局、上海市机关事务管理局、上海海关等部门，它们按照各自职责依法对拍卖活动进行监督管理。,第五条（监管部门）上海市商务委员会根据职责统筹协调处理本市公共资源拍卖活动中涉及的重大问题。上海市经济和信息化委员会、上海市市场监督管理局、上海市公安局、上海市财政局、上海市机关事务管理局、上海海关等部门按照各自职责依法对本市公共资源拍卖活动开展监督管理。,"{'title': '上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：上海市'}","（沪商规〔2020〕1号）各相关单位：为加强本市公共资源拍卖管理，促进政务公开和廉政建设，保证公共资源拍卖的统一、规范、透明、高效，提高公共资源拍卖的质量和效率，切实维护公共权益，现制定《上海市公共资源拍卖管理办法》并印发给你们，请遵照执行。上海市商务委员会,上海市经济和信息化委员会,上海市市场监督管理局,上海市公安局,上海市财政局,上海市机关事务管理局,上海海关,2020年1月6日上海市公共资源拍卖管理办法第一章 总则第一条（目的和依据）为贯彻《国务院办公厅关于印发整合建立统一的公共资源交易平台工作方案的通知》，加强本市公共资源拍卖管理，促进政务公开和廉政建设，保证公共资源拍卖的统一、规范、透明、高效，提高公共资源拍卖的质量和效率，切实维护公共权益，依据《中华人民共和国拍卖法》《拍卖管理办法》等法律法规，结合本市实际情况，制定本办法。第二条 （定义）本办法所称公共资源是指涉及公共利益、公众安全的具有公有性、公益性的资源。公共资源拍卖是指以公开竞价的形式，将特定的公共资源转让给最高应价者的买卖方式，包括拍卖标的委托、拍卖公告、标的展示、拍卖会组织、拍卖价款结算、标的交割、结案归档等流程和内容。第三条 （适用范围）本市范围内公共资源拍卖活动及平台的运行、服务和监督管理适用本办法。公共资源拍卖活动原则上应当通过公共资源拍卖平台进行，国家法律法规另有规定的除外。第四条（原则）公共资源拍卖活动应遵循公开、公平、公正和诚信原则，充分披露信息，充分公开竞价。做到统一进场交易、统一网络平台、统一发布公告、统一接受监管、统一资金管理。第五条（监管部门）上海市商务委员会根据职责统筹协调处理本市公共资源拍卖活动中涉及的重大问题。上海市经济和信息化委员会、上海市市场监督管理局、上海市公安局、上海市财政局、上海市机关事务管理局、上海海关等部门按照各自职责依法对本市公共资源拍卖活动开展监督管理。",政策知识
办理上海市建设工程勘察项目的直接发包和合同备案手续时，应该去哪里提交材料？,办理上海市建设工程勘察项目的直接发包和合同备案手续时，需要前往市、区（县）建筑建材业受理服务部门提交材料。具体的地址和电话信息可以在《上海市建设工程建管程序告知单》中查询。,（四）受理部门：市、区（县）建筑建材业受理服务部门，地址和电话见《上海市建设工程建管程序告知单》。,"{'title': '上海市城乡建设和交通委员会关于印发《可直接发包产业项目的直接发包手续与建设工程合同备案手续合并办理的办事指南》的通知', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：上海市'}",注：上述表格在上海建筑建材业（www.ciac.sh.cn）网上填报后打印，盖章确认。（三）办理时限：当场办理。（四）受理部门：市、区（县）建筑建材业受理服务部门，地址和电话见《上海市建设工程建管程序告知单》。二、勘察直接发包和合同备案手续办理（一）需具备的条件：1、建设工程已报建；2、用地范围已经土地、规划管理部门核准；3、具备场地地形地貌图及相关地下管线、地下建（构）筑物分布图等资料。（二）携带材料：1、“上海市建设工程项目IC卡”；2、场地地形图（带图幅图号）及建筑总平面图（加盖设计院图签）；3、《上海市建设工程勘察中标（交易成交）通知书》（一式四联）；4、勘察单位“上海市建筑建材业企业IC卡”；5、建设工程勘察合同副本（1份，加盖骑缝章）；6、《上海市建设工程勘察项目非招标发包登记表》（一式两份，网上填报）；7、《上海市建设工程勘察合同登记表（沪建合同01表）》（一式两份，网上填报）。注：上述表格在上海建筑建材业（www.ciac.sh.cn）网上填报后打印，盖章确认。（三）办理时限：当场办理。（四）受理部门：市、区（县）建筑建材业受理服务部门，地址和电话见《上海市建设工程建管程序告知单》。三、监理直接发包和合同备案手续办理（一）需具备的条件：1、建设工程已报建；2、勘察、设计已发包；3、初步设计或总体设计文件已完成。,政策知识
在工程投标过程中，施工单位如何处理项目管理机构关键岗位人员的配备和更换问题？,施工单位应将项目管理机构关键岗位人员配备情况列入投标文件。若确需更换人员，必须获得建设单位的书面同意，且不得降低相应的资格条件。,施工单位在参加工程投标时，应当将项目管理机构关键岗位人员配备情况列入投标文件。项目管理机构关键岗位人员不得擅自更换，确需更换的，应当建设单位书面同意，且不得降低相应的资格条件。,"{'title': '上海市城乡建设和管理委员会关于印发《上海市建筑施工企业施工现场项目管理机构关键岗位人员配备指南》的通知', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：上海市'}",建筑面积5万平方米及以上，或者工程合同价大于1亿元及以上的工程，项目技术负责人应具有工程类高级技术职称，并应具有8年以上工程施工现场管理工作经验。第六条 施工单位工程项目管理机构应建立质量管理小组，配备与工程项目规模和技术难度相适应的质量员、专门负责施工检测管理的材料员。（一）施工总承包单位和专业承包（分包）单位的质量员、材料员配备总数如下：建筑面积5万平方米或工程合同价1亿元以下的工程项目：质量员人数土建专业不应少于2人，水、电等专业各不应少于1人；材料员不少于1人。建筑面积在5万平方米以上10万平方米以下或工程合同价1亿元以上，5亿元以下的工程项目：质量员人数土建专业不应少于4名，水、电等专业不应少于4人；材料员不少于2人。10万平方米或工程合同价5亿元以上的工程项目：质量员人数土建专业不应少于6名，水、电等专业不应少于6人；材料员不少于3人。（二）建筑面积5万平方米或工程合同价1亿元以上的工程项目，施工单位应当在施工现场设置质量管理小组，小组组长应当由具有工程类中级及以上职称、大专以上文化程度以及具有5年以上施工现场管理经验的质量工程师担任。第七条 建筑面积1万平方米或工程合同价0.5亿元以上的工程项目，且需要分期施工的，施工单位可以按照每期的面积比例合理配备关键岗位人员；单体建筑面积2万平方米或单位工程合同价1亿元以上的工程项目，施工单位在不同的施工阶段可以根据工程实际情况合理配备关键岗位人员。除以上情况外，关键岗位人员配备数量少于最低配备标准的，施工单位应当根据工程实际，按照施工的时间节点制定项目管理机构关键岗位人员实际配备方案，经建设单位、监理单位同意后，报项目受监的监督机构备案。第八条 施工单位在参加工程投标时，应当将项目管理机构关键岗位人员配备情况列入投标文件。项目管理机构关键岗位人员不得擅自更换，确需更换的，应当建设单位书面同意，且不得降低相应的资格条件。,招中标知识
在上海市的建设工程施工暂估价招标中，哪些单位可以作为招标人？,在上海市的建设工程施工暂估价招标中，可以作为招标人的单位包括建设单位、施工总包单位，或者建设单位和施工总包单位的联合体。,二、施工暂估价招标应当由建设单位、施工总包单位或者建设单位和施工总包单位联合体作为招标人。,"{'title': '上海市城乡建设和管理委员会关于启用建设工程施工暂估价招投标服务系统的通知', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：上海市'}",（沪建管〔2014〕624号）各有关单位：为了规范本市建设工程施工暂估价招标活动，根据《上海市建设工程施工分包管理办法》（沪建交（2012）948号）的规定，2014年8月1日，建设工程施工暂估价招投标服务系统（以下简称“服务系统”）正式投入运行，现将有关事项通知如下：一、以暂估价形式包含在施工总承包招标范围内的，达到国家规定应当招标规模标准的重要设备、材料以及专业工程的公开招标应当使用服务系统招标。采用邀请招标的施工暂估价招标，招标人依法自行实施。二、施工暂估价招标应当由建设单位、施工总包单位或者建设单位和施工总包单位联合体作为招标人。三、招标人或者招标代理机构应当按照法定招标程序实施，其中“招标登记、招标公告、中标候选人公示、中标通知书打印”应当使用服务系统，具体操作见《建设工程施工暂估价招投标服务系统用户手册》。评标专家由招标人或者招标代理机构到项目所在地招投标监管部门从本市建设工程评标专家库中随机抽取。招标人依法组织开标和评标活动并妥善保存开标、评标资料备查。招投标监管部门可结合实际，要求招标人进入交易场所组织开标、评标。四、2014年8月1日起，建设工程施工总承包招投标已完成但尚未实施施工暂估价招标的应当按照本通知的要求实施招标，市、区（县）等相关招投标监管部门应当做好宣传和监管，保证招标人依法履行招标义务。特此通知。二〇一四年七月二十五日,招中标知识
在上海市的建设工程施工暂估价招标中，评标专家是如何选取的？,在上海市的建设工程施工暂估价招标中，评标专家由招标人或者招标代理机构到项目所在地招投标监管部门，从本市建设工程评标专家库中随机抽取。,评标专家由招标人或者招标代理机构到项目所在地招投标监管部门从本市建设工程评标专家库中随机抽取。,"{'title': '上海市城乡建设和管理委员会关于启用建设工程施工暂估价招投标服务系统的通知', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：上海市'}",（沪建管〔2014〕624号）各有关单位：为了规范本市建设工程施工暂估价招标活动，根据《上海市建设工程施工分包管理办法》（沪建交（2012）948号）的规定，2014年8月1日，建设工程施工暂估价招投标服务系统（以下简称“服务系统”）正式投入运行，现将有关事项通知如下：一、以暂估价形式包含在施工总承包招标范围内的，达到国家规定应当招标规模标准的重要设备、材料以及专业工程的公开招标应当使用服务系统招标。采用邀请招标的施工暂估价招标，招标人依法自行实施。二、施工暂估价招标应当由建设单位、施工总包单位或者建设单位和施工总包单位联合体作为招标人。三、招标人或者招标代理机构应当按照法定招标程序实施，其中“招标登记、招标公告、中标候选人公示、中标通知书打印”应当使用服务系统，具体操作见《建设工程施工暂估价招投标服务系统用户手册》。评标专家由招标人或者招标代理机构到项目所在地招投标监管部门从本市建设工程评标专家库中随机抽取。招标人依法组织开标和评标活动并妥善保存开标、评标资料备查。招投标监管部门可结合实际，要求招标人进入交易场所组织开标、评标。四、2014年8月1日起，建设工程施工总承包招投标已完成但尚未实施施工暂估价招标的应当按照本通知的要求实施招标，市、区（县）等相关招投标监管部门应当做好宣传和监管，保证招标人依法履行招标义务。特此通知。二〇一四年七月二十五日,招中标知识
长期亏损、资不抵债的企业在进行分立、破产或资产重组时，能否获得法律支持？,可以。根据政策规定，对于这类企业进行分立、破产或资产重组以盘活存量资产的，依法予以登记支持。,4.对长期亏损、资不抵债及扭亏无望的企业需分立、破产或进行资产重组以盘活存量资产的，依法予以登记支持。,"{'title': '上海市工商行政管理局关于进一步支持本市企业改制和拓展国内市场的若干意见', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：上海市'}",6.支持大集团设立相应的企业托管公司和经纪公司，以便于开展资产重组和企业托管业务。7.凡大集团企业可直接设立全资子公司；集团的内资产重组和联合登记注册时，可免交资产评估证明；集团内设立股份合作制企业，可由集团直接审批。二、关于支持放活小企业和七项措施1.重点支持企业进行股份合作制及公司制改制。对按股份合作制进行改制的，依照《中华人民共和国法人登记管理条例》和《上海市股份合作制企业暂行办法》规定的程序办理变更登记，并在企业名称使用上给予支持；改制为有限公司或股份有限的，执行市工商局制定的公司化改制程序，其原名称，企业需保留的，可不再新加“字号”或“行业”。2.企业资产被全部拍卖或兼并的，在按国家规定履行有关手续后，办理原企业的注销登记；被拍卖或被兼并的企业需继续经营的，由收购或兼并方提出申请，办理相应的登记手续。被兼并的企业原有的各类许可证和专项审批，可先转给兼并企业，再由兼并企业向有关行业主管部门申办变更手续；被兼并企业名称保留的，由兼并方提出申请，可予以支持。3.企业将全部或部分资产及非法人分支机构承包，租赁给他人经营的，应当将承包，租赁协议报送原登记机关备案。实行承包、租赁后，原登记事项发生变化的，应办理相应原登记变更手续，登记事项不发生变化的，可不必办理登记变更手续。4.对长期亏损、资不抵债及扭亏无望的企业需分立、破产或进行资产重组以盘活存量资产的，依法予以登记支持。5.对采取出售、联营、债权转作股权等形式的企业，根据实际情况，按有关规定，给予登记注册。6.企业经过资产重组，引入新的投资主体的，本着方便企业、有利于搞活的原则给予登记注册。7.对严重亏损的“放小”企业，其分立合并后交纳注册登记费用困难的，由企业提出书面申请，经登记机关分管局长批准后，予以分期或暂缓收取。,政策知识
大集团在进行内部资产重组和联合登记注册时，是否需要提交资产评估证明？,不需要。根据政策规定，大集团在进行内部资产重组和联合登记注册时，可以免交资产评估证明。,7.凡大集团企业可直接设立全资子公司；集团的内资产重组和联合登记注册时，可免交资产评估证明；集团内设立股份合作制企业，可由集团直接审批。,"{'title': '上海市工商行政管理局关于进一步支持本市企业改制和拓展国内市场的若干意见', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：上海市'}",6.支持大集团设立相应的企业托管公司和经纪公司，以便于开展资产重组和企业托管业务。7.凡大集团企业可直接设立全资子公司；集团的内资产重组和联合登记注册时，可免交资产评估证明；集团内设立股份合作制企业，可由集团直接审批。二、关于支持放活小企业和七项措施1.重点支持企业进行股份合作制及公司制改制。对按股份合作制进行改制的，依照《中华人民共和国法人登记管理条例》和《上海市股份合作制企业暂行办法》规定的程序办理变更登记，并在企业名称使用上给予支持；改制为有限公司或股份有限的，执行市工商局制定的公司化改制程序，其原名称，企业需保留的，可不再新加“字号”或“行业”。2.企业资产被全部拍卖或兼并的，在按国家规定履行有关手续后，办理原企业的注销登记；被拍卖或被兼并的企业需继续经营的，由收购或兼并方提出申请，办理相应的登记手续。被兼并的企业原有的各类许可证和专项审批，可先转给兼并企业，再由兼并企业向有关行业主管部门申办变更手续；被兼并企业名称保留的，由兼并方提出申请，可予以支持。3.企业将全部或部分资产及非法人分支机构承包，租赁给他人经营的，应当将承包，租赁协议报送原登记机关备案。实行承包、租赁后，原登记事项发生变化的，应办理相应原登记变更手续，登记事项不发生变化的，可不必办理登记变更手续。4.对长期亏损、资不抵债及扭亏无望的企业需分立、破产或进行资产重组以盘活存量资产的，依法予以登记支持。5.对采取出售、联营、债权转作股权等形式的企业，根据实际情况，按有关规定，给予登记注册。6.企业经过资产重组，引入新的投资主体的，本着方便企业、有利于搞活的原则给予登记注册。7.对严重亏损的“放小”企业，其分立合并后交纳注册登记费用困难的，由企业提出书面申请，经登记机关分管局长批准后，予以分期或暂缓收取。,政策知识
