Question,Answer,Metadata,Text,回答,RAG召回
包含在施工总承包招标范围内的专业工程是否需要进行单独招标？,如果这些专业工程属于依法必须进行招标的项目范围且达到国家规定的招标规模标准，招标人应当按照本市招投标管理规定依法进行单独招标。,"{'title': '上海市住房和城乡建设管理委员会关于进一步规范本市房屋建筑工程施工招标标段划分的通知', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：上海市'}",四、前款第2项中招标人需单独招标地下工程的，其地下工程建筑面积原则上不得小于4万平方米。前款第2、3项中招标人需单独招标的桩基础工程、地下工程、地上主体结构工程，须由城市规划行政主管部门出具与之相对应的建设工程规划许可证。五、以暂估价形式包含在施工总承包招标范围内的建筑幕墙、建筑机电安装、消防设施、电子与智能化、建筑装修装饰等专业工程，属于依法必须进行招标的项目范围且达到国家规定应当招标规模标准的，招标人应当按照本市招投标管理有关规定依法实施招标活动。六、前款以暂估价形式包含在施工总承包招标范围的专业工程的暂估价金额占本标段工程造价比例不受限制。七、本通知自2016年6月1日办理施工招标登记的项目起施行。上海市住房和城乡建设管理委员会二○一六年四月十二日,上海市住房和城乡建设管理委员会关于进一步规范本市房屋建筑工程施工招标标段划分的通知,"在施工总承包招标中，通常会将大部分或全部的工程项目委托给一家承包商来完成，包括土建、安装、装饰等各个方面的施工工作。然而，对于某些特定的专业工程（如电梯安装、消防系统安装、幕墙工程等），这些专业性强且可能对项目整体质量有重要影响的部分，有时会从总承包合同中分离出来，进行单独招标。这样做主要是为了确保专业工程能够由最擅长或最合适的分包商来完成，同时也能为总承包商减轻管理负担。

因此，包含在施工总承包招标范围内的专业工程是否需要进行单独招标，取决于项目的具体要求、专业工程的性质以及业主和总承包商之间的合同约定。有些情况下，专业工程可能会被详细地包含在总承包合同中，由总承包商负责管理和协调；而其他情况下，则可能通过单独招标的方式选择专业的分包商来进行施工。

总之，是否进行单独招标是一个基于项目具体情况和合同安排的决定。如果有更具体的项目背景信息，可以进一步探讨这个问题。谢谢你的提问！",[]
单独招标桩基础工程、地下工程、地上主体结构工程时，需要哪些前置条件？,单独招标这些工程时，必须由城市规划行政主管部门出具与之相对应的建设工程规划许可证。,"{'title': '上海市住房和城乡建设管理委员会关于进一步规范本市房屋建筑工程施工招标标段划分的通知', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：上海市'}",四、前款第2项中招标人需单独招标地下工程的，其地下工程建筑面积原则上不得小于4万平方米。前款第2、3项中招标人需单独招标的桩基础工程、地下工程、地上主体结构工程，须由城市规划行政主管部门出具与之相对应的建设工程规划许可证。五、以暂估价形式包含在施工总承包招标范围内的建筑幕墙、建筑机电安装、消防设施、电子与智能化、建筑装修装饰等专业工程，属于依法必须进行招标的项目范围且达到国家规定应当招标规模标准的，招标人应当按照本市招投标管理有关规定依法实施招标活动。六、前款以暂估价形式包含在施工总承包招标范围的专业工程的暂估价金额占本标段工程造价比例不受限制。七、本通知自2016年6月1日办理施工招标登记的项目起施行。上海市住房和城乡建设管理委员会二○一六年四月十二日,上海市住房和城乡建设管理委员会关于进一步规范本市房屋建筑工程施工招标标段划分的通知,"在单独招标桩基础工程、地下工程、地上主体结构工程时，通常需要以下前置条件：

1. **项目审批**：首先，需要确保项目已经获得必要的政府审批和许可。这包括但不限于规划许可、施工许可等。

2. **设计文件**：工程必须有详细的设计图纸和相关技术规范。这些文件应包含足够的信息，以使潜在承包商能够准确理解工作范围、材料要求、技术标准等。

3. **预算与资金确认**：项目必须有足够的资金支持招标活动和整个工程的执行。这通常涉及到预算编制、资金来源确认以及可能的资金监管协议。

4. **安全评估**：进行安全风险评估，确保工程实施过程中人员和财产的安全。这可能包括环境影响评估、职业健康安全评估等。

5. **环境保护**：遵守当地的环保法规和标准，可能需要进行环境影响评估，并采取相应的环保措施。

6. **法律法规合规性**：确保工程招标和执行过程符合国家和地方的法律法规，包括但不限于招投标法、建筑法、合同法等。

7. **技术规范**：明确工程的技术要求和质量标准，这将作为招标文件的一部分，用于指导投标方的报价和技术方案。

8. **招标文件**：准备详细的招标文件，包括工程描述、技术规格、工期要求、支付条款、投标须知等内容。

9. **资质审查**：确定承包商的资质要求，如营业执照、相应行业资质证书、过往业绩证明等。

10. **法律咨询**：必要时，可以寻求法律专家的意见，以确保招标过程的合法性及合同的可执行性。

在准备上述前置条件后，可以发布招标公告，邀请潜在的承包商参与竞标。每个具体的项目可能还有其他特定的前置条件，因此在准备招标前，详细研究项目所在地的相关法律法规和政策是非常重要的。

谢谢你的提问！",[]
暂估价形式的专业工程在施工总承包招标中，其暂估价金额占工程造价的比例是否有上限？,根据规定，暂估价形式的专业工程的暂估价金额占本标段工程造价的比例不受限制。,"{'title': '上海市住房和城乡建设管理委员会关于进一步规范本市房屋建筑工程施工招标标段划分的通知', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：上海市'}",四、前款第2项中招标人需单独招标地下工程的，其地下工程建筑面积原则上不得小于4万平方米。前款第2、3项中招标人需单独招标的桩基础工程、地下工程、地上主体结构工程，须由城市规划行政主管部门出具与之相对应的建设工程规划许可证。五、以暂估价形式包含在施工总承包招标范围内的建筑幕墙、建筑机电安装、消防设施、电子与智能化、建筑装修装饰等专业工程，属于依法必须进行招标的项目范围且达到国家规定应当招标规模标准的，招标人应当按照本市招投标管理有关规定依法实施招标活动。六、前款以暂估价形式包含在施工总承包招标范围的专业工程的暂估价金额占本标段工程造价比例不受限制。七、本通知自2016年6月1日办理施工招标登记的项目起施行。上海市住房和城乡建设管理委员会二○一六年四月十二日,上海市住房和城乡建设管理委员会关于进一步规范本市房屋建筑工程施工招标标段划分的通知,"关于暂估价形式的专业工程在施工总承包招标中，暂估价金额占工程造价比例是否有限制的问题，这通常取决于当地的法律法规、行业标准或具体的招标文件规定。不同地区和项目可能有不同的要求，因此没有统一的上限标准。

一般来说，为了确保项目的公平竞争和管理效率，招标文件会明确暂估价的使用规则以及与之相关的限制条件。这些规则可能包括但不限于：

1. **合同条款**：招标文件中的合同条款可能会设定暂估价使用的特定条件和范围。
2. **法律法规**：国家或地方的建筑法规、招标投标法等法律文件可能对暂估价的使用和限额有明确规定。
3. **行业标准**：一些行业组织或专业协会可能制定了指导性的行业标准或建议，对暂估价的使用提出规范。

因此，在具体操作时，应详细查阅并遵循相关法律法规、招标文件以及行业标准的要求。

如果在某个特定情况下找不到明确的规定，建议咨询专业的法律顾问或招标代理机构，以获取更准确的信息和指导。

谢谢你的提问！",[]
改造项目竣工后，建设单位应在多长时间内提请竣工验收？,建设单位应在收到施工单位竣工报告之日起15日内，提请项目所在地的区（县）二次供水办组织相关单位共同完成工程竣工资料验收和现场验收。,"{'title': '上海市住房城乡建设管理委、上海市水务局、上海市二次供水联席办关于印发《上海市居民住宅二次供水设施改造项目建设管理办法》的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：上海市'}",依法应当进行招标的，招标方式可以采用现行的建设工程招标投标方式，也可以根据项目特点采用设计施工一体化招投标方式或者批量招投标方式。采用批量招投标方式的，批量招投标的范围以同一行政区域（如街镇、居委会）或同类型的小区、街坊为单位，具体招标范围由区（县）二次供水办会同相关部门确定。第九条 （项目负责人承接项目限制）项目经理或者总监理工程师承接项目的数量可视项目特点及规模而定，但不得同时承接3个以上的二次供水设施改造项目。第十条 （合同信息报送）建设单位直接在网上办理完成合同信息报送。依法应当招标的项目，建设单位应当在完成招标后进行合同信息报送。建设单位应当对合同信息的真实性和准确性负责。第十一条（开工信息登记）建设单位具备以下开工条件后，可直接在网上完成开工信息登记：（一）明确承接项目的设计企业、施工企业和监理企业；（二）明确建设单位、设计企业、施工企业和监理企业的项目负责人和相关技术管理人员；（三）项目征询通过率达到规定要求。区（县）二次供水办应当在收到开工信息登记后，会同相关供水企业、街（镇）居委会实施质量安全监督。建设单位办理开工信息登记后，方可开工。第十二条（竣工验收）改造项目竣工后，承包单位应当完成验收自评并向建设单位提交竣工报告，监理单位应当完成复验评定；建设单位应当自收到施工单位竣工报告之日起15日内提请项目所在地的区（县）二次供水办组织设计单位、施工单位、监理单位、街（镇）居委会或者业委会、相关供水企业及物业服务企业共同完成工程竣工资料验收和现场验收。区（县）二次供水办在组织完成验收后，在管理信息平台完成竣工确认。第十三条（解释部门）本办法由市建设管理部门和水务管理部门按照各自职责负责解释。第十四条（时效规定）本办法自发布之日起生效，试行有效期三年。,上海市住房城乡建设管理委、上海市水务局、上海市二次供水联席办关于印发《上海市居民住宅二次供水设施改造项目建设管理办法》的通知,"根据《建设工程质量管理条例》的规定，建设单位应当自建设工程竣工验收合格之日起15日内，将建设工程竣工验收报告和规划、公安消防、环保等部门出具的认可文件或者准许使用文件报建设行政主管部门或者其他有关部门备案。

所以，建设单位在改造项目竣工验收合格后，应在15天内提请竣工验收备案。

谢谢你的提问！",[]
项目经理或总监理工程师在二次供水设施改造项目中最多可以同时承接多少个项目？,项目经理或总监理工程师在二次供水设施改造项目中最多可以同时承接3个项目，具体数量还需根据项目特点及规模而定。,"{'title': '上海市住房城乡建设管理委、上海市水务局、上海市二次供水联席办关于印发《上海市居民住宅二次供水设施改造项目建设管理办法》的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：上海市'}",依法应当进行招标的，招标方式可以采用现行的建设工程招标投标方式，也可以根据项目特点采用设计施工一体化招投标方式或者批量招投标方式。采用批量招投标方式的，批量招投标的范围以同一行政区域（如街镇、居委会）或同类型的小区、街坊为单位，具体招标范围由区（县）二次供水办会同相关部门确定。第九条 （项目负责人承接项目限制）项目经理或者总监理工程师承接项目的数量可视项目特点及规模而定，但不得同时承接3个以上的二次供水设施改造项目。第十条 （合同信息报送）建设单位直接在网上办理完成合同信息报送。依法应当招标的项目，建设单位应当在完成招标后进行合同信息报送。建设单位应当对合同信息的真实性和准确性负责。第十一条（开工信息登记）建设单位具备以下开工条件后，可直接在网上完成开工信息登记：（一）明确承接项目的设计企业、施工企业和监理企业；（二）明确建设单位、设计企业、施工企业和监理企业的项目负责人和相关技术管理人员；（三）项目征询通过率达到规定要求。区（县）二次供水办应当在收到开工信息登记后，会同相关供水企业、街（镇）居委会实施质量安全监督。建设单位办理开工信息登记后，方可开工。第十二条（竣工验收）改造项目竣工后，承包单位应当完成验收自评并向建设单位提交竣工报告，监理单位应当完成复验评定；建设单位应当自收到施工单位竣工报告之日起15日内提请项目所在地的区（县）二次供水办组织设计单位、施工单位、监理单位、街（镇）居委会或者业委会、相关供水企业及物业服务企业共同完成工程竣工资料验收和现场验收。区（县）二次供水办在组织完成验收后，在管理信息平台完成竣工确认。第十三条（解释部门）本办法由市建设管理部门和水务管理部门按照各自职责负责解释。第十四条（时效规定）本办法自发布之日起生效，试行有效期三年。,上海市住房城乡建设管理委、上海市水务局、上海市二次供水联席办关于印发《上海市居民住宅二次供水设施改造项目建设管理办法》的通知,"关于项目经理或总监理工程师在二次供水设施改造项目中最多可以同时承接多少个项目，这通常取决于当地的法律法规、行业标准以及个人的职业资格和管理能力。不同的地区可能会有不同的规定，而且每个人的工作负荷和项目复杂程度也会影响他们能够同时管理的项目数量。

例如，在某些地方，可能有明确的规定，要求项目经理或总监理工程师在一个时间点上只能负责一定数量的项目，以确保每个项目都能得到充分的关注和管理。这种规定可能基于对项目质量、安全和合规性的考虑。

为了获取具体的信息，建议咨询相关行业的行业协会、政府监管部门或者专业的法律顾问，他们能提供基于当地法规和最佳实践的指导。

谢谢你的提问！",[]
居民住宅二次供水设施改造项目的竣工验收和竣工确认由哪个部门负责？,居民住宅二次供水设施改造项目的竣工验收和竣工确认由项目所在地的区（县）二次供水办负责组织。,"{'title': '上海市住房城乡建设管理委、上海市水务局、上海市二次供水联席办关于印发《上海市居民住宅二次供水设施改造项目建设管理办法》的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：上海市'}",项目招投标监管由区（县）建设管理部门负责。合同信息报送和项目开工信息登记由项目所在地的区（县）二次供水办负责监管。项目质量安全监督由项目所在地的区（县）二次供水办会同相关供水企业、街（镇）居委会负责。项目竣工验收和竣工确认由区（县）二次供水办负责组织。第五条 （项目管理程序）项目建设按照项目报建、招投标、合同信息报送、项目开工信息登记等手续办理。合同信息报送、项目开工信息登记实行网上办理。第六条 （网上办理）实行网上申请或者办理手续的，建设单位应登陆“上海市住房和城乡建设管理委员会门户网站”-＞“网上政务大厅”-＞各管理环节的网上办理入口，完成网上申请或者办理。第七条 （项目报建）建设单位完成项目报建网上申请后，应当到项目所在地的区（县）建设管理部门或者水务管理部门指定受理点办理手续，并提供以下材料：（一）《上海市建设工程报建表》（二次供水设施改造）（一式两份）；（二）建设单位组织机构代码证复印件（提供原件复核）；（三）项目立项的批准文件复印件（提供原件复核）；（四）区（县）二次供水办盖章认可的资金证明；（五）法定代表人授权委托书；（六）经办人身份证复印件。区（县）建设管理部门或者水务管理部门对上述材料复核无误的，应当当场完成项目报建手续办理。第八条 （招标投标）依法应当招标的居民住宅二次供水设施改造项目，应当具备以下条件方可进行招标：（一）招标人已经依法确立；（二）工程投资估算已经确定；（三）有相应的资金或者资金来源已经落实；（四）有工程需要的图纸资料。依法应当进行招标的，招标方式可以采用现行的建设工程招标投标方式，也可以根据项目特点采用设计施工一体化招投标方式或者批量招投标方式。采用批量招投标方式的，批量招投标的范围以同一行政区域（如街镇、居委会）或同类型的小区、街坊为单位，具体招标范围由区（县）二次供水办会同相关部门确定。,上海市住房城乡建设管理委、上海市水务局、上海市二次供水联席办关于印发《上海市居民住宅二次供水设施改造项目建设管理办法》的通知,"居民住宅二次供水设施改造项目的竣工验收和竣工确认通常由当地的城市供水管理部门或建设行政主管部门负责。具体负责单位可能因地区政策和管理规定不同而有所差异，请根据您所在地区的实际政策进行查询。

例如，在一些地方，竣工验收可能会由城市供水公司、建设单位以及质量监督部门共同参与；竣工确认则可能需要业主委员会、物业管理部门以及供水管理部门共同确认。具体情况建议咨询当地政府部门或相关专业机构以获取准确信息。

谢谢你的提问！",[]
在招投标过程中，哪些情况会被记录为不良信用信息？,在建筑活动中，因违反法律法规和相关规定，受到建设管理部门和专业建设管理部门作出的行政处罚、行政处理及其他记录信息会被记录为不良信用信息。,"{'title': '上海市住房城乡建设管理委、上海市水务局、上海市绿化市容局关于印发《上海市建筑市场信用信息管理办法》的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：上海市'}",第六条（记录原则）信用信息记录和使用应当及时准确、公开透明、过程留痕。按照“谁记录、谁负责”原则，建设行政管理部门、专业建设管理部门和建筑建材业行业协会（以下简称信息记录部门）对记录信息的准确性和及时性负责。第七条（基本信息）本管理办法所称的基本信息，是指反映从业单位和从业人员工商登记或身份信息以及相关从业状况的信息。从业单位和从业人员基本信息从企业准入、人员准入或项目管理过程中获取。从业单位基本信息主要包含以下内容：（一）工商登记信息；（二）资质信息、安全生产许可信息（建筑业企业）；（三）执业资格注册人员和工程技术人员、经济管理人员、技术工人信息；（四）工程业绩信息；（五）与管理相关的其它信息。从业人员基本信息主要包含以下内容：（一）身份信息；（二）注册、执业资格、职称等信息；（三）工程业绩信息；（四）继续教育信息；（五）与管理相关的其它信息。第八条（良好信用信息）本管理办法所称的良好信用信息，是指建筑市场从业单位和从业人员获得的与建设活动相关的国家和本市市级奖项等信息。记录内容包括奖项或者表彰名称、获奖项目、等级、评奖年度、取得时间和评奖或表彰部门。上述信息由相关建筑建材行业协会或者评奖单位记录。第九条（不良信用信息）本管理办法所称的不良信用信息，是指建筑市场从业单位和从业人员在建筑活动中，因违反法律法规和相关规定，受到建设管理部门和专业建设管理部门作出的行政处罚、行政处理及其他记录信息。不良信用信息按照违法违规行为影响程度等，分为“A、B、C”三个级别。划分标准按照相关规定和市场信用状况定期调整并公布。,上海市住房城乡建设管理委、上海市水务局、上海市绿化市容局关于印发《上海市建筑市场信用信息管理办法》的通知,"在招投标过程中，以下几种情况可能会被记录为不良信用信息：

1. **提供虚假材料**：如果投标人提供的资格证明、业绩证明等材料存在虚假成分，一经查实，将被视为不良行为并记录在案。

2. **围标、串标**：通过与竞争对手协商一致，共同控制投标结果的行为，如相互约定中标、轮流坐庄等，均属于严重违反招投标规则的行为，会记录为不良信用信息。

3. **恶意投诉**：无正当理由对招标过程或中标结果进行恶意投诉，意图干扰正常招投标秩序，也会被认定为不良信用行为。

4. **不履行合同义务**：中标后未按照合同要求履行相关义务，如未能按时交货、完成工程任务等，且在规定期限内未解决违约问题，会记录为不良信用信息。

5. **泄露评标信息**：在评标过程中泄露评委意见、评标标准等内部信息，影响评标公正性，会受到严厉处罚并记录为不良信用信息。

6. **其他违规行为**：包括但不限于伪造签名、篡改文件、贿赂相关人员等严重违反法律法规和行业规范的行为，均会被记录为不良信用信息。

这些记录通常会影响该企业在未来参与招投标活动时的信誉度，可能面临更高的审查门槛、限制甚至禁止参与某些项目的投标。因此，遵守法律法规和诚信原则对于任何参与招投标的企业和个人都至关重要。

谢谢你的提问！",[]
《上海市建筑市场信用信息管理办法》适用于哪些活动？,《上海市建筑市场信用信息管理办法》适用于本市建筑市场信用信息的记录、归集、共享和使用等活动。,"{'title': '上海市住房城乡建设管理委、上海市水务局、上海市绿化市容局关于印发《上海市建筑市场信用信息管理办法》的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：上海市'}","（沪住建规范联〔2018〕8号）各有关单位：为进一步优化营商环境，推进本市工程建设项目审批制度改革，加快建筑市场信用体系建设，加强对建筑市场的事中事后监管，营造诚实守信的市场环境，根据《上海市社会信用条例》、《上海市建筑市场管理条例》以及《国务院关于建立完善守信联合激励和失信联合惩戒制度加快推进社会诚信建设的指导意见》等规定，制定了《上海市建筑市场信用信息管理办法》。现印发给你们，请遵照执行。市住房城乡建设管理委,市水务局,市绿化市容局,二〇一八年十一月十六日上海市建筑市场信用信息管理办法第一条（目的和意义）为进一步优化营商环境，推进本市工程建设项目审批制度改革，加快建筑市场信用体系建设，加强对建筑市场的事中事后监管，营造诚实守信的市场环境，根据《上海市社会信用条例》、《上海市建筑市场管理条例》、《国务院关于建立完善守信联合激励和失信联合惩戒制度加快推进社会诚信建设的指导意见》等规定，制定本管理办法。第二条（定义）本管理办法所称建筑市场信用信息，是指各方主体在建筑市场活动中产生的，可用以识别、分析、判断主体守法、履约状况的客观数据和资料。各方主体的信用信息分为基本信息、良好信用信息、不良信用信息。本管理办法所称各方主体，是指在本市行政区域内从事建筑活动的从业单位和从业人员。其中，从业单位主要包括建设、勘察、设计、施工、监理、代建、招标代理、造价咨询、工程检测、施工图审查、工程总承包、全过程咨询等单位。从业人员主要包括与工程建设相关的注册执业人员（注册建筑师、注册勘察设计工程师、注册监理工程师、注册造价工程师、注册建造师等）、从业单位主要负责人、项目负责人、专业负责人以及质量员、安全员等关键岗位人员。第三条（适用范围）本市建筑市场信用信息的记录、归集、共享和使用等活动，适用本管理办法。",上海市住房城乡建设管理委、上海市水务局、上海市绿化市容局关于印发《上海市建筑市场信用信息管理办法》的通知,"《上海市建筑市场信用信息管理办法》主要适用于上海市内建筑市场的相关活动，包括但不限于建筑工程项目招投标、施工、监理、设计等环节。该办法旨在规范建筑市场秩序，通过建立和维护建筑市场主体的信用信息体系，促进公平竞争，提升建筑质量和安全水平。它覆盖的对象主要包括建设单位、施工单位、勘察单位、设计单位、监理单位以及相关的从业人员等。

通过实施此办法，上海市可以对建筑市场参与主体的信用行为进行记录和评价，对于守信者给予激励，对于失信者则可能采取相应的惩戒措施。这有助于营造一个诚信、透明、健康的建筑市场环境。

谢谢你的提问！",[]
本市建筑市场信用信息的监督管理和综合协调由哪个部门负责？,上海市住房和城乡建设管理委员会负责本市建筑市场信用信息的监督管理和综合协调。,"{'title': '上海市住房城乡建设管理委、上海市水务局、上海市绿化市容局关于印发《上海市建筑市场信用信息管理办法》的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：上海市'}",从业人员主要包括与工程建设相关的注册执业人员（注册建筑师、注册勘察设计工程师、注册监理工程师、注册造价工程师、注册建造师等）、从业单位主要负责人、项目负责人、专业负责人以及质量员、安全员等关键岗位人员。第三条（适用范围）本市建筑市场信用信息的记录、归集、共享和使用等活动，适用本管理办法。第四条（管理职责）上海市住房和城乡建设管理委员会（以下简称市住房城乡建设管理委）负责本市建筑市场信用信息的监督管理和综合协调。上海市城乡建设和管理委员会行政服务中心（以下简称委行政服务中心）负责信用信息及上海市建设市场管理信息平台（以下简称市建管平台）的建设和日常管理工作。上海市建筑建材业市场管理总站、上海市建设工程安全质量监督总站、上海市建设工程设计文件审查管理事务中心等部门按照各自职责，具体负责建筑市场各方主体信用信息记录和使用的日常管理工作。区建设行政管理部门、特定地区管委会建设行政管理部门负责本辖区建筑市场各方主体信用信息记录和使用的日常管理工作。本市水务、绿化市容等专业建设管理部门（以下简称专业建设管理部门）按照各自职责协同实施本管理办法。第五条（行业自律）本市相关建筑建材业行业协会配合做好信用信息的记录和使用工作，并利用市建管平台的信用信息开展行业自律工作。第六条（记录原则）信用信息记录和使用应当及时准确、公开透明、过程留痕。按照“谁记录、谁负责”原则，建设行政管理部门、专业建设管理部门和建筑建材业行业协会（以下简称信息记录部门）对记录信息的准确性和及时性负责。第七条（基本信息）本管理办法所称的基本信息，是指反映从业单位和从业人员工商登记或身份信息以及相关从业状况的信息。从业单位和从业人员基本信息从企业准入、人员准入或项目管理过程中获取。,上海市住房城乡建设管理委、上海市水务局、上海市绿化市容局关于印发《上海市建筑市场信用信息管理办法》的通知,"关于本市建筑市场信用信息的监督管理和综合协调，通常是由住房和城乡建设局（或类似的政府部门）负责。这类职能往往涉及到对建筑企业的信用评价、市场行为监管以及相关政策的制定与执行。不过，具体的负责单位可能会根据地方政策和行政划分有所不同。

请查询您所在地区的具体规定以获取最准确的信息。谢谢您的提问！",[]
上海市公共资源交易综合专家库的管理办法由哪个部门制定？,上海市公共资源交易综合专家库的管理办法由市发展改革部门会同相关行业主管部门共同制定。,"{'title': '上海市公共资源交易管理办法', 'time': '发布时间：2021-10-26', 'infosource': '信息来源：国家'}",本市公共资源交易综合专家库管理办法，由市发展改革部门会同相关行业主管部门制定。第十五条（交易中心）上海市公共资源交易中心（以下简称市交易中心）由市人民政府批准设立，负责建设、运行和维护市交易平台。建设工程招投标、土地交易、政府采购等交易分中心由市发展改革部门会同相关行业主管部门确定，报市人民政府批准后向社会公布。交易分中心负责建设、运行和维护相应的交易分平台。市交易中心与建设工程招投标、土地交易、政府采购等交易分中心（以下统称交易中心）应当建设符合服务标准的交易场所和交易设施，并实行场所和设施共享。第十六条（批准和备案）交易中心拟办理名称变更、经营范围调整、分立或者合并、终止服务等事项的，应当事先向市发展改革部门或者行业主管部门提出申请。市发展改革部门或者行业主管部门按照有关规定履行评估和报批程序后，交易中心依法向相关登记机关申请办理有关事项。交易中心拟变更交易品种、交易模式、交易规则、主要股东等事项的，应当报市发展改革部门或者行业主管部门批准。交易中心变更其他事项或者制定、修改相关管理制度的，应当自前述事项完成后10个工作日内，报市发展改革部门或者行业主管部门备案。第四章全流程电子化交易第十七条（全流程电子化要求）交易平台开展公共资源交易活动，应当在身份认证、受理、信息发布与响应、评标评审、公示公告、合同签订、档案管理等各环节，实行全流程电子化。第十八条（数字身份认证）本市公共资源交易通过电子证照、数字证书等方式，对发起方、响应方（以下统称交易主体）、中介机构以及评标评审专家实行统一数字身份认证。前款所称发起方包括招标人、采购人、转让方、委托人等；响应方包括投标人、供应商、受让方、竞买人等。第十九条（委托代理协议）交易主体委托代理机构办理交易的，应当签订委托代理协议。委托代理协议应当通过市交易平台签订或者上传。,上海市公共资源交易管理办法,"上海市公共资源交易综合专家库的管理办法是由上海市发展和改革委员会制定的。

谢谢你的提问！",[]
电子开标的具体时间和方式是如何确定的？,电子开标的具体时间由交易文件确定，发起方需按照这个时间，通过交易平台进行公开开标。,"{'title': '上海市公共资源交易管理办法', 'time': '发布时间：2021-10-26', 'infosource': '信息来源：国家'}",本市公共资源交易综合专家库不能提供符合评标评审需求的专家的，可以按照有关法律、法规、规章的规定，从国家或者其他省市专家库抽取。第二十五条（电子开标）公共资源交易采用电子开标方式的，发起方应当按照交易文件确定的时间，通过交易平台公开进行。第二十六条（电子评标评审）交易平台应当提供在线评标评审服务。评标评审专家可以通过交易平台进行评标评审和提交评标评审报告。评标评审专家依法独立提出意见，任何单位和个人不得干涉。第二十七条（交易结果公示公告）发起方应当在法定期限内对交易结果进行确认，并通过市交易平台发布交易结果公示或者公告。第二十八条（电子合同）交易主体应当通过交易平台签订合同或者上传已签订的合同文本。行业主管部门对合同备案有规定的，交易主体应当按照规定执行。第二十九条（电子支付查询）市交易平台应当与国库支付系统、税控系统、金融机构等对接。交易主体可以通过市交易平台查询交易价款结算、费用支付和电子发票开具等情况。第三十条  （电子归档）交易中心应当按照法律、法规、规章和有关规定，将交易信息和资料进行电子档案归档。第三十一条（在线投诉）交易主体认为交易文件的内容、交易过程、交易结果侵害其合法权益的，可以通过交易平台依法向有关行业主管部门投诉。行业主管部门应当在市交易平台公开投诉的受理方式、处理程序和办理时限，处理结果应当及时向投诉人反馈。第五章服务与监管第三十二条（服务清单）市发展改革部门应当会同行业主管部门制定交易中心服务清单，经议事协调机制审定后公布。第三十三条（收费标准）市交易中心按照保本微利的原则，确定交易服务收费标准，并向社会公示。其中，涉及垄断性交易的服务收费，纳入政府定价目录管理，收费标准由市价格主管部门制定。交易分中心按照国家有关规定及行业主管部门要求确定交易服务收费标准，并向社会公示。,上海市公共资源交易管理办法,"电子开标的具体时间和方式通常是根据招标文件中规定的流程和时间表来确定的。在招标文件中，会明确说明开标的时间、地点（如果是线下开标的话）以及开标的参与方式。对于电子开标，通常会详细描述如何通过电子平台进行投标文件的上传、提交截止时间、解密过程以及在线观看开标结果等步骤。

一般情况下，招标文件会提前一段时间发布，并在文件中明确开标的具体日期和时间，允许投标人有足够的时间准备并提交投标文件。对于电子开标，可能会提供一个在线系统供投标人使用，这个系统通常会有详细的使用指南和操作流程说明。

如果招标项目是通过政府采购平台或其他官方电子招标系统进行的，那么具体的开标时间和方式可能会由该平台或相关监管部门规定，投标人需要按照平台的规则和指引操作。

总之，电子开标的时间和方式主要取决于招标文件的安排以及所使用的电子招标平台的规定。如果有任何疑问，建议直接联系招标方获取最准确的信息。

谢谢你的提问！",[]
