Question,Title,Bodys,Intent_Classific
划拨国有土地上房地产转让时，受让人需要办理哪些手续？,上海市房地产转让办法,划拨国有土地上房地产转让，受让人，办理手续,政策文件信息
产权转让项目首次信息披露的转让底价有何要求？,企业国有资产交易监督管理办法,产权转让项目，首次信息披露，转让底价，要求,政策文件信息
投标人在中标后可以将项目的非主体工作分包给其他单位吗？,政府采购货物和服务招标投标管理办法,投标人，中标，非主体工作，分包，其他单位,政策文件信息
交易主体委托代理机构办理交易时，委托代理协议应该如何签订或上传？,上海市公共资源交易管理办法,交易主体，委托代理机构，委托代理协议，签订，上传,政策文件信息
投标文件在截止时间后送达会怎样处理？,房屋建筑和市政基础设施工程施工招标投标管理办法,投标文件，截止时间后送达，处理,政策文件信息
如果货物或服务采购项目达到公开招标数额标准，但想采用非招标采购方式，需要经过哪些审批程序？,政府采购非招标采购方式管理办法,货物或服务采购项目，公开招标数额标准，非招标采购方式，审批程序,政策文件信息
如果委托人和拍卖人未约定佣金比例，拍卖成交后佣金如何收取？,中华人民共和国拍卖法,委托人，拍卖人，佣金比例，佣金,政策文件信息
委托人是否可以参与竞买或委托他人代为竞买？,中华人民共和国拍卖法,委托人，参与竞买，委托他人代为竞买,政策文件信息
上海市交易中心在收到隔夜评标申请后需要做哪些准备工作？,【综合采购】上海市公共资源交易中心隔夜评标操作指引,上海市交易中心，隔夜评标申请，准备工作,政策文件信息
资格预审结束后，招标人应该如何通知合格的和不合格的潜在投标人？,工程建设项目施工招标投标办法,资格预审，招标人，通知，合格的，不合格的，潜在投标人,政策文件信息
供应商在政府采购活动中享有哪些基本权利？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),供应商，政府采购活动，基本权利,政策文件信息
一个项目的施工单项合同估算价为350万元人民币，是否需要招标？,必须招标的工程项目规定,施工单项合同估算价，350万元人民币，招标,政策文件信息
在什么条件下，采购人可以与政务信息系统运行维护供应商签订不超过三年的合同？,财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,采购人，政务信息系统运行维护供应商，合同,政策文件信息
行政单位在利用国有资产进行对外担保或投资方面有哪些限制？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,行政单位，国有资产，对外担保，投资，限制,政策文件信息
投标人在澄清或说明时，能否超出投标文件的范围或改变其实质性内容？,房屋建筑和市政基础设施工程施工招标投标管理办法,投标人，澄清或说明，超出投标文件的范围，实质性内容,政策文件信息
国有资产监督管理机构在所出资企业收入分配制度改革中扮演什么角色？,企业国有资产监督管理暂行条例,国有资产监督管理机构，收入分配制度改革，角色,政策文件信息
询价采购中，技术和服务要求不明确会有什么后果？,政府采购非招标采购方式管理办法,询价采购，技术和服务要求，后果,政策文件信息
磋商文件的售价应如何确定？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,磋商文件，售价,政策文件信息
机构投资者如何申请参与碳排放配额交易？,【碳排放权】上海环境能源交易所碳排放交易机构投资者适当性制度实施办法（试行）,机构投资者，申请参与碳排放配额交易,政策文件信息
上海市公共资源交易中心中介机构信用记分低于70分时，评估结果和标注颜色是什么？,【综合采购】上海市公共资源交易中心中介机构和中介机构从业人员信用记分评估标准（试行）,上海市公共资源交易中心，中介机构信用记分，低于70分，评估结果，标注颜色,政策文件信息
对于参加政府采购活动的供应商、采购代理机构、评审专家的不良行为，相关部门应该如何处理？,财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,参加政府采购活动，供应商，采购代理机构，评审专家，不良行为，相关部门，处理,政策文件信息
产权转让协议中，转让方如何收取转让价款？,金融企业国有资产转让管理办法,产权转让协议，转让方，收取转让价款,政策文件信息
未缴清全部土地出让价款能否领取国有建设用地使用权证书？,招标拍卖挂牌出让国有建设用地使用权规定,未缴清全部土地出让价款，领取国有建设用地使用权证书,政策文件信息
在行政事业单位资产管理中，财政部门和主管部门应如何加强监管？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,行政事业单位资产管理，财政部门，主管部门，加强监管,政策文件信息
如何评估一家公司的独立性？,【产权交易】企业增资业务受托机构工作指引（试行）,独立性,日常问题
在尽职调查过程中，受托机构应如何记录和保存工作底稿？,【产权交易】企业增资业务受托机构工作指引（试行）,尽职调查，受托机构，记录，保存，工作底稿,政策文件信息
政务信息系统政府采购工作的具体实施由哪个部门负责？,财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,政务信息系统政府采购工作，部门,政策文件信息
中标人将中标项目转让给他人是否合法？会受到什么处罚？,工程建设项目施工招标投标办法,中标人，转让，项目，合法，处罚,政策文件信息
通过受托机构提交终结申请时，受托机构需要履行什么职责？,【产权交易】上海联合产权交易所有限公司交易中止和终结操作细则（沪联产交〔2018〕50号）,受托机构，终结申请，履行职责,政策文件信息
国有及国有控股企业在招投标过程中，需要建立哪些内部监督和风险控制制度？,企业国有资产监督管理暂行条例,国有及国有控股企业，内部监督和风险控制制度,政策文件信息
上海市公共资源拍卖中心的运作模式是怎样的？,上海市拍卖行业协会关于成立上海市公共资源拍卖中心的请示报告,上海市公共资源拍卖中心，运作模式,政策文件信息
如果投标文件解密失败，招标人是否有义务提供补救方案？,电子招标投标办法,投标文件解密失败，招标人，补救方案,政策文件信息
受托机构在管理招投标工作底稿时需要建立哪些制度？,【产权交易】企业增资业务受托机构工作指引（试行）,受托机构，管理，招投标工作底稿，建立，制度,政策文件信息
工程施工招标有哪些主要类型？,工程建设项目施工招标投标办法,工程施工招标，主要类型,政策文件信息
政府采购活动中，供应商的合法权益受到侵害时，可以通过哪些途径进行维权？,政府采购质疑和投诉办法,政府采购活动，供应商，合法权益，维权,政策文件信息
电子招标投标交易平台需要具备哪些主要功能？,电子招标投标办法,电子招标投标交易平台，主要功能,政策文件信息
如果采购人对资格预审文件进行了修改，距离截止时间只有2天了，需要怎么处理？,政府采购货物和服务招标投标管理办法,采购人，资格预审文件，截止时间，处理,政策文件信息
如果竞买人的最高应价未达到底价，拍卖会该如何处理？,招标拍卖挂牌出让国有建设用地使用权规定,竞买人，最高应价，底价，拍卖会,政策文件信息
电子招标投标活动具体包括哪些内容？,电子招标投标办法,电子招标投标活动，内容,政策文件信息
评标委员会成员收受投标人的财物，会受到哪些处罚？,工程建设项目施工招标投标办法,评标委员会成员，收受，投标人，财物，处罚,政策文件信息
评标委员会的组成人员有哪些要求？,房屋建筑和市政基础设施工程施工招标投标管理办法,评标委员会，组成人员，要求,政策文件信息
在政府采购中，如何实现分工制衡与提升效能的并重？,财政部关于加强政府采购活动内部控制管理的指导意见,分工制衡，提升效能，政府采购,政策文件信息
交易平台在智慧监管方面需要采取哪些具体措施来确保交易活动的合法性？,上海市公共资源交易管理办法,交易平台，智慧监管，具体措施，确保交易活动的合法性,政策文件信息
水运工程项目设计招标有哪些方式？,水运工程建设项目招标投标管理办法,水运工程项目设计招标，方式,政策文件信息
国有建设用地使用权的招标、拍卖或挂牌出让活动是否需要提前规划？,招标拍卖挂牌出让国有建设用地使用权规定,国有建设用地使用权，招标，拍卖或挂牌出让活动，提前规划,政策文件信息
招标代理机构在哪些情况下会被暂停或取消招标代理资格？,评标专家和评标专家库管理暂行办法,招标代理机构，暂停，取消招标代理资格,政策文件信息
碳排放具体包括哪些类型的排放？,上海市碳排放管理试行办法,碳排放，类型，排放,政策文件信息
提交银行汇票作为投标保证金需要哪些材料？,投标保证金提交与退还操作须知,提交银行汇票，投标保证金，材料,政策文件信息
市交易中心在确定交易服务收费标准时遵循什么原则？,上海市公共资源交易管理办法,市交易中心，交易服务收费标准，原则,政策文件信息
招标人规避必须进行的施工招标，会受到怎样的法律处罚？,工程建设项目施工招标投标办法,招标人，规避，施工招标，法律处罚,政策文件信息
企业国有资产的具体定义是什么？,企业国有资产监督管理暂行条例,企业国有资产，具体定义,政策文件信息
评审小组成员在评审过程中获悉的商业秘密是否可以对外透露？,政府采购非招标采购方式管理办法,评审小组成员，商业秘密，对外透露,政策文件信息
拍卖行业的监督管理由哪个部门负责？,拍卖管理办法,拍卖行业，监督管理，部门,政策文件信息
产权交易双方签订合同并支付相关费用后，联交所多久能出具产权交易凭证？,【产权交易】上海联合产权交易所有限公司企业国有产权转让出具交易凭证操作细则（沪联产交〔2018〕45号）,产权交易双方，签订合同，支付相关费用，联交所，出具产权交易凭证,政策文件信息
纳入配额管理的单位在申请节能减碳项目融资时，可以享受哪些金融支持？,上海市碳排放管理试行办法,纳入配额管理的单位，申请节能减碳项目融资，金融支持,政策文件信息
在撰写投资风险提示时，需要综合考虑哪些方面的专业意见？,【产权交易】企业增资业务受托机构工作指引（试行）,投资风险提示，专业意见,政策文件信息
市发展改革部门需要对哪些活动进行监督管理？,上海市碳排放管理试行办法,市发展改革部门，活动，监督管理,政策文件信息
招标拍卖挂牌出让结果应在多长时间内公布？,招标拍卖挂牌出让国有建设用地使用权规定,招标拍卖挂牌出让结果，公布,政策文件信息
在什么情况下，依法必须进行公开招标的项目可以采用邀请招标？,工程建设项目施工招标投标办法,依法必须进行公开招标，邀请招标,政策文件信息
为了提高政府采购效率，采购人、集中采购机构和监管部门应如何处理有时间要求的事项？,财政部关于加强政府采购活动内部控制管理的指导意见,提高政府采购效率，采购人，集中采购机构，监管部门，有时间要求的事项,政策文件信息
集体所有土地上建成的房屋转让需要满足哪些条件？,上海市房地产转让办法,集体所有土地，房屋，转让，条件,政策文件信息
上海市公共资源交易中心中介机构信用记分为0分或连续12个月评估不佳，会有什么后果？,【综合采购】上海市公共资源交易中心中介机构和中介机构从业人员信用记分评估标准（试行）,上海市公共资源交易中心，中介机构信用记分，0分，连续12个月评估不佳，后果,政策文件信息
已经为某政府采购项目提供整体设计的公司，还能参与该项目的其他采购活动吗？,中华人民共和国政府采购法实施条例,某政府采购项目，整体设计，参与，采购活动,政策文件信息
采购人在收到评标报告后，需要在多长时间内确定中标人？,政府采购货物和服务招标投标管理办法,采购人，评标报告，确定中标人,政策文件信息
大中型企业与小型、微型企业组成联合体时，是否存在投资关系有限制吗？,财政部、工业和信息化部关于印发《政府采购促进中小企业发展暂行办法》的通知,大中型企业，小型，微型，联合体，投资关系,政策文件信息
预售商品房的房地产开发企业在什么条件下可以与受让人办理过户手续？,上海市房地产转让办法,预售商品房，房地产开发企业，受让人，过户手续,政策文件信息
转让方在向财政部门提交直接协议转让上市公司股份的材料时，需要包含哪些具体内容？,金融企业国有资产转让管理办法,转让方，财政部门，直接协议转让上市公司股份，具体内容,政策文件信息
哪些类型的系统属于政务信息系统的范畴？,财政部关于印发《政务信息系统政府采购管理暂行办法》的通知,政务信息系统，类型,政策文件信息
招标拍卖挂牌活动结束后，出让结果需要在多长时间内公布？,招标拍卖挂牌出让国有建设用地使用权规定,招标拍卖挂牌活动，出让结果，时间,政策文件信息
在招标过程中，如果两家投标单位都能满足招标文件的实质性要求，但一家价格更高，另一家综合评分更高，应如何确定中标人？,招标拍卖挂牌出让国有建设用地使用权规定,招标，投标单位，实质性要求，价格，综合评分，中标人,政策文件信息
电子招标投标交易平台的运营机构及其关联单位能否在该平台进行的招标项目中投标或代理投标？,电子招标投标办法,电子招标投标交易平台，运营机构，关联单位，招标项目，投标，代理投标,政策文件信息
招标人对招标文件进行澄清或修改后，需要在什么时间前通知投标人，并报备给哪个部门？,房屋建筑和市政基础设施工程施工招标投标管理办法,招标人，招标文件，澄清或修改，通知投标人，报备，部门,政策文件信息
询价采购中，从发出询价通知书到供应商提交响应文件的截止时间最少需要多少天？,政府采购非招标采购方式管理办法,询价采购，发出询价通知书，供应商提交响应文件，截止时间，最少需要，天,招标中标信息
政府采购领域如何推进联合惩戒工作？,财政部关于在政府采购活动中查询及使用信用记录有关问题的通知,政府采购领域，联合惩戒工作,政策文件信息
上海联合产权交易所有限公司都有哪些接待方式？,【产权交易】上海联合产权交易所有限公司业务咨询接待服务规定（沪联产交〔2019〕49号）,上海联合产权交易所有限公，接待方式,政策文件信息
政府采购非招标采购方式管理办法的制定目的是什么？,政府采购非招标采购方式管理办法,政府采购非招标采购方式管理办法，制定目的,政策文件信息
招标公告和公示信息发布前需要哪些签字和盖章手续？,招标公告和公示信息发布管理办法,招标公告，信息发布，签字，盖章手续,政策文件信息
在进行非公开协议方式的企业产权转让时，国资监管机构需要审核哪些文件？,企业国有资产交易监督管理办法,非公开协议方式，企业产权转让，国资监管机构，审核，文件,政策文件信息
如果2015年3月1日以后签订的政府采购合同未按要求公告，应该怎么处理？,财政部关于做好政府采购信息公开工作的通知,2015年3月1日以后签订的政府采购合同，未按要求公告，处理,政策文件信息
在上海市进行房地产转让时，主要依据哪些法律法规？,上海市房地产转让办法,上海市，房地产转让，法律法规,政策文件信息
采购人或者采购代理机构在磋商过程中可以向评审专家提供倾向性解释吗？,财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知,采购人，采购代理机构，磋商过程，倾向性解释,政策文件信息
纳入配额管理的单位应在什么时间内履行配额清缴义务？,上海市碳排放管理试行办法,纳入配额管理的单位，履行配额清缴义务,政策文件信息
在哪些情况下，采购人应终止单一来源采购活动并重新开展采购？,政府采购非招标采购方式管理办法,采购人，终止单一来源采购活动，重新开展采购,政策文件信息
评标委员会成员在评审过程中出现意见分歧时，应如何处理？,政府采购货物和服务招标投标管理办法,评标委员会成员，意见分歧，处理,政策文件信息
编制和调整政府购买服务指导性目录的依据是什么？,政府购买服务管理办法,编制和调整政府购买服务指导性目录，依据,政策文件信息
哪些主体可以作为公共资源拍卖的委托人？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,公共资源拍卖，委托人,政策文件信息
购买主体在政府购买服务项目履约管理中需要做哪些工作？,政府购买服务管理办法,购买主体，政府购买服务项目，履约管理，工作,政策文件信息
企业内部人员参与国有资产转让时有哪些限制？,中华人民共和国企业国有资产法,企业内部人员，国有资产转让，限制,政策文件信息
如果政府采购合同履行后给第三方造成损失，第三方该如何维权？,政府采购质疑和投诉办法,政府采购合同，第三方，维权,政策文件信息
如果房地产买卖中的一方违反合同约定，需要承担哪些责任？,上海市房地产转让办法,房地产买卖，一方，违反合同约定，承担，责任,政策文件信息
上海市交易中心发起方的信用记分达到多少分会被评估为优秀？,【综合采购】上海市公共资源交易中心发起方信用记分评估标准（试行）,上海市交易中心，发起方，信用记分，评估为优秀,政策文件信息
供应商在询价采购活动中能否多次修改报价？,政府采购非招标采购方式管理办法,供应商，询价采购活动，多次修改报价,政策文件信息
投标人在编制投标文件时，是否必须按照要求进行加密？,电子招标投标办法,投标人，投标文件，加密,政策文件信息
中央和地方预算单位的政府采购信息应分别在哪些媒体上公开？,财政部关于做好政府采购信息公开工作的通知,中央和地方预算单位，政府采购信息，媒体,政策文件信息
哪些类型的资产应当被纳入政府经管资产的管理范畴？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,政府经管资产，资产,政策文件信息
在进行文物拍卖前，是否需要办理特定的审批手续？,中华人民共和国拍卖法,文物拍卖，审批手续,政策文件信息
拍卖企业在处理拍卖标的的来源和瑕疵问题时，有哪些责任和义务？,拍卖管理办法,拍卖企业，来源，瑕疵，责任，义务,政策文件信息
如何提高行政事业单位资产管理干部队伍的素质和能力？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,行政事业单位资产管理干部队伍，素质和能力,政策文件信息
国家机关擅自处理应委托拍卖的物品，相关责任人会受到什么处罚？,中华人民共和国拍卖法,国家机关，擅自处理，应委托拍卖，物品，相关责任人，处罚,政策文件信息
上海环境能源交易所的会员分为哪几类，各自有哪些业务权限？,【碳排放权】上海环境能源交易所碳排放交易会员管理办法（试行）,上海环境能源交易所，会员，分类，业务权限,政策文件信息
企业在区域性股权市场发行股票需要满足哪些条件？,区域性股权市场监督管理试行办法,区域性股权市场，股票，条件,政策文件信息
为什么采购需求制定与内部审核岗位需要分开设置？,财政部关于加强政府采购活动内部控制管理的指导意见,采购需求制定，内部审核岗位，分开设置,政策文件信息
受让上市公司股份后，受让方需要满足哪些条件才能拥有上市公司的实际控制权？,金融企业国有资产转让管理办法,受让上市公司股份，实际控制权,政策文件信息
竞争性谈判公告的公告期限是多久？,财政部关于做好政府采购信息公开工作的通知,竞争性谈判公告，公告期限,政策文件信息
意向投资人对增资人进行尽职调查时，需要签署保密协议吗？,【产权交易】企业增资业务规则（试行）,意向投资人，尽职调查，保密协议,政策文件信息
政府采购中如何贯彻权责对等与依法惩处的原则？,财政部关于加强政府采购活动内部控制管理的指导意见,政府采购，权责对等，依法惩处,政策文件信息
采购人或采购代理机构拒收供应商在法定质疑期内发出的质疑函，会有什么后果？,政府采购质疑和投诉办法,采购人或采购代理机构，拒收，供应商，法定质疑期，后果,政策文件信息
供应商在政府采购活动中需要承担哪些义务？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),供应商，政府采购活动，义务,政策文件信息
在行政事业单位资产管理中，各级财政部门和主管部门的具体职责是什么？,财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见,行政事业单位资产管理，各级财政部门，主管部门，具体职责,政策文件信息
如果买受人未支付拍卖价款，拍卖人应该如何处理？,上海市商务委员会等七部门关于印发《上海市公共资源拍卖管理办法》的通知,买受人，拍卖价款，拍卖人,政策文件信息
列入交易目录的公共资源交易事项是否必须通过交易平台进行？,上海市公共资源交易管理办法,列入交易目录，公共资源交易事项，交易平台,政策文件信息
哪些情况下大型居住社区项目的勘察、设计、施工和监理可以直接发包？,上海市城乡建设和交通委员会关于印发《关于加强本市大型居住社区工程建设服务和管理工作的若干意见》的通知,大型居住社区项目，勘察，设计，施工，监理，直接发包,政策文件信息
挂牌出让国有建设用地使用权的具体操作步骤有哪些？,招标拍卖挂牌出让国有建设用地使用权规定,挂牌出让国有建设用地使用权，具体操作步骤,政策文件信息
供应商入库后，如果公司信息发生变化，需要在多长时间内更新？,上海市财政局关于印发《上海市政府采购供应商登记及诚信管理办法》的通知(2017),供应商入库，公司信息发生变化，更新,政策文件信息
商务主管部门工作人员在执行公务中获知的保密信息泄露，会如何处理？,拍卖管理办法,商务主管部门工作人员，保密信息，处理,政策文件信息
房地产开发企业在什么情况下可以变更已预售商品房的建筑设计？,上海市房地产转让办法,房地产开发企业，变更，已预售商品房的设计，建筑设计,政策文件信息
如果需要对已发出的招标文件进行澄清或修改，应该如何操作？,财政部关于做好政府采购信息公开工作的通知,招标文件，澄清，修改，操作,政策文件信息
市交易平台为交易主体提供哪些在线服务？,上海市公共资源交易管理办法,市交易平台，交易主体，在线服务,政策文件信息
电子招标投标交易平台运营机构在投标截止时间前，能否向第三方泄露潜在投标人的信息？,电子招标投标办法,电子招标投标交易平台运营机构，投标截止时间前，第三方，潜在投标人,政策文件信息
在进行宏观环境分析时，应从哪些方面评估增资人的投资价值和竞争优势？,【产权交易】企业增资业务受托机构工作指引（试行）,宏观环境分析，评估增资人投资价值，竞争优势,政策文件信息
如果发现供应商涂改或伪造商品房预售许可证，应该如何处理？,上海市房地产转让办法,供应商，商品房预售许可证，处理,政策文件信息
