问题,提取的实体,问题分类,意图分类
怎么做一道美味的番茄炒蛋？,番茄炒蛋,日常问题,日常问题
上海市第一人民医院重症医学病房建设项目（四）的预算金额是多少？,上海市第一人民医院重症医学病房建设项目（四），预算金额,招标中标信息,招标中标信息
哪些具体行为会被视为违反《上海环境能源交易所碳排放交易信息管理办法》？,《上海环境能源交易所碳排放交易信息管理办法》，具体行为，违反,政策文件信息,政策文件信息
海市第六人民医院徐汇院区离心式冷水机组更新及安装项目的预算金额是多少？,海市第六人民医院徐汇院区，离心式冷水机组更新及安装项目，预算金额,招标中标信息,招标中标信息
怎么去除衣服上的污渍？,污渍,日常问题,日常问题
超广角血流光学相干断层扫描仪的中标供应商是谁？,超广角血流光学相干断层扫描仪，中标供应商,招标中标信息,商品数据
在行政事业单位资产管理中，各级财政部门、主管部门和行政事业单位应如何加强组织领导？,行政事业单位资产管理，各级财政部门，主管部门，行政事业单位，加强组织领导,政策文件信息,政策文件信息
交易中心及交易平台开发运维单位的工作人员在履行职责过程中泄露信息，会面临什么法律责任？,交易中心及交易平台开发运维单位，工作人员，履行职责，泄露信息，法律责任,政策文件信息,政策文件信息
哪种宠物比较好养？,宠物，比较好养,日常问题,日常问题
上海市疾病预防控制中心全自动蛋白质分离纯化系统项目的预算金额是多少？,上海市疾病预防控制中心全自动蛋白质分离纯化系统项目，预算金额,招标中标信息,招标中标信息
光学干涉断层成像移动系统有哪些品牌？,光学干涉断层成像移动系统，品牌,商品数据,商品数据
有什么适合周末的活动？,周末，活动,日常问题,日常问题
《财政部关于开展政府采购意向公开工作的通知》的发布时间是什么？,《财政部关于开展政府采购意向公开工作的通知》，发布时间,政策文件信息,政策文件信息
复旦大学附属金山医院职工疗休养项目的中标金额是多少？ ,复旦大学附属金山医院职工疗休养项目，中标金额,招标中标信息,招标中标信息
高清腹腔镜系统是否有明确报价？,高清腹腔镜系统，明确报价,商品数据,商品数据
《财政部关于加强政府采购活动内部控制管理的指导意见》信息来源是哪里？,《财政部关于加强政府采购活动内部控制管理的指导意见》，信息来源,政策文件信息,政策文件信息
哪些人可以被视为残疾人福利性单位中的“残疾人”？,残疾人福利性单位，残疾人,政策文件信息,政策文件信息
医院一代测序仪的价格范围是哪些？,医院一代测序仪，价格范围,商品数据,商品数据
你能给我讲个笑话吗？,笑话,日常问题,日常问题
我们单位想申请成为享受政府采购支持政策的残疾人福利性单位，需要满足哪些具体条件？,申请，残疾人福利性单位，具体条件,政策文件信息,政策文件信息
你知道哪些著名的旅游景点？,旅游景点,日常问题,日常问题
《财政部关于加强政府采购活动内部控制管理的指导意见》发布于哪一年？,《财政部关于加强政府采购活动内部控制管理的指导意见》，发布时间,政策文件信息,政策文件信息
如果违规行为同时构成违约，相关主体需要承担怎样的责任？,违规行为，违约，责任,政策文件信息,政策文件信息
不动产拍卖规程是哪个部门发布的？,不动产拍卖规程，部门,政策文件信息,政策文件信息
交互式多媒体教学培训投影仪都有哪些品牌？,交互式多媒体教学培训投影仪，品牌,商品数据,商品数据
【产权交易】上海联合产权交易所有限公司企业非公开协议增资操作流程（沪联产交〔2019〕77号）的发布时间是什么？,产权交易，上海联合产权交易所，企业非公开协议增资操作流程，发布时间,政策文件信息,政策文件信息
上海交通大学医学院附属瑞金医院采购的多模态OCT影像系统品牌是什么？,上海交通大学医学院附属瑞金医院，多模态OCT影像系统，品牌,招标中标信息,商品数据
在监控期间，招投标工作人员能否接待与业务无关的人员？,监控期间，招投标工作人员，接待，无关的人员,政策文件信息,政策文件信息
康复医院虚拟现实训练系统有哪些供应商？,康复医院虚拟现实训练系统，供应商,商品数据,商品数据
哪些主体如果违反《上海环境能源交易所碳排放交易信息管理办法》会被要求限期改正？,主体，违反，《上海环境能源交易所碳排放交易信息管理办法》，限期改正,政策文件信息,政策文件信息
最近有什么好听的歌曲？,好听，歌曲,日常问题,日常问题
《财政部、民政部、中国残疾人联合会关于促进残疾人就业政府采购政策的通知》信息来源是哪里？,《财政部、民政部、中国残疾人联合会关于促进残疾人就业政府采购政策的通知》，信息来源,政策文件信息,政策文件信息
《财政部关于促进政府采购公平竞争优化营商环境的通知》是什么时候发布的？,《财政部关于促进政府采购公平竞争优化营商环境的通知》，发布时间,政策文件信息,政策文件信息
你知道宇宙有多大吗？,宇宙，大小,日常问题,日常问题
如果对投标电子保函的相关规定有疑问，应该向哪个机构咨询解释？,投标电子保函，相关规定，咨询解释,政策文件信息,政策文件信息
《财政部关于进一步加强政府采购需求和履约验收管理的指导意见》信息来源是哪里？,《财政部关于进一步加强政府采购需求和履约验收管理的指导意见》，信息来源,政策文件信息,政策文件信息
世界上最高的山峰是哪座？,世界，最高，山峰,日常问题,日常问题
如何提高行政事业单位资产管理干部队伍的素质和能力？,行政事业单位资产管理干部队伍，素质和能力,政策文件信息,政策文件信息
医院高级综合模拟人的最低价格是多少？,医院高级综合模拟人，最低价格,商品数据,商品数据
失眠了怎么办？,失眠，怎么办,日常问题,日常问题
超广角血流光学相干断层扫描仪采购人是谁？,超广角血流光学相干断层扫描仪，采购人,招标中标信息,招标中标信息
光学干涉断层成像移动系统的价格范围是多少？,光学干涉断层成像移动系统，价格范围,商品数据,商品数据
医院高级综合模拟人属于什么类型的商品？,医院高级综合模拟人，类型，商品,商品数据,商品数据
结算银行未履行相关义务时，交易所可以采取哪些具体措施？,结算银行，履行义务，交易所，具体措施,政策文件信息,政策文件信息
上海交通大学医学院附属上海儿童医学中心的采购联系人和联系方式是什么？ ,上海交通大学医学院附属上海儿童医学中心，采购联系人，联系方式,招标中标信息,商品数据
数字乳腺X射线摄影系统的产品参数什么？,数字乳腺X射线摄影系统，产品参数,商品数据,商品数据
投标人在申请办理投标电子保函时，如果提供的资料不真实，会有什么后果？,投标人，申请办理投标电子保函，提供资料，不真实，后果,政策文件信息,政策文件信息
保函出具机构及交易平台开发运维单位的工作人员在哪些情况下会被交易中心终止合作关系并要求承担赔偿责任？,保函出具机构及交易平台开发运维单位，工作人员，交易中心，终止合作关系，要求承担赔偿责任,政策文件信息,政策文件信息
上海市静安区中医医院X射线计算机扫描系统采购项目的中标金额是多少？,上海市静安区中医医院X射线计算机扫描系统采购项目，中标金额,招标中标信息,招标中标信息
步态训练跑台有哪些供应商可以提供？,步态训练跑台，供应商,商品数据,商品数据
CT机医疗设备的供应商有哪些？,CT机医疗设备，供应商,商品数据,商品数据
减肥有什么好方法？,减肥，好方法,日常问题,日常问题
参加政府采购活动时，残疾人福利性单位需要提供哪些证明材料？,参加政府采购活动，残疾人福利性单位，证明材料,政策文件信息,政策文件信息
如何提高记忆力？,提高记忆力,日常问题,日常问题
青浦区中心医院医疗设备购置项目的预算金额是多少？,青浦区中心医院医疗设备购置项目，预算金额,招标中标信息,招标中标信息
上海乐伊物业管理有限公司中标过哪些项目？,上海乐伊物业管理有限公司，中标，项目,日常问题,招标中标信息
医院一代测序仪的供应商是上海的有哪些？,医院一代测序仪，供应商，上海,商品数据,商品数据
《【碳排放权】上海环境能源交易所碳排放交易违规违约处理办法（试行）》信息来源是哪里？,《碳排放权》，上海环境能源交易所，碳排放交易违规违约处理办法，信息来源,政策文件信息,政策文件信息
残疾人健康体检项目的中标供应商都有哪些？,残疾人健康体检项目，中标供应商,招标中标信息,招标中标信息
在行政事业单位资产管理中，各级财政部门和主管部门的具体职责是什么？,行政事业单位资产管理，各级财政部门，主管部门，具体职责,政策文件信息,政策文件信息
康复医院虚拟现实训练系统有哪些品牌？,康复医院虚拟现实训练系统，品牌,商品数据,商品数据
怎样快速缓解压力？,缓解压力,日常问题,日常问题
上海市第七人民医院医疗器械清洗灭菌服务项目的服务时间是多久？ ,上海市第七人民医院医疗器械清洗灭菌服务项目，服务时间,招标中标信息,招标中标信息
大金中央空调一拖三3匹家用客厅vrv变频风管机商用酒店多联机的供应商名称是什么？,大金中央空调一拖三3匹家用客厅vrv变频风管机商用酒店多联机，供应商名称,商品数据,商品数据
步态训练跑台的价格最低是多少？,步态训练跑台，价格最低,商品数据,商品数据
普陀区卫生健康委员会的采购代理人是谁？,普陀区卫生健康委员会，采购代理人,招标中标信息,招标中标信息
有什么好看的电影推荐？,好看，电影，推荐,日常问题,日常问题
光学干涉断层成像移动系统的产品参数是什么？,光学干涉断层成像移动系统，产品参数,商品数据,商品数据
哪些公司中标了流式细胞仪项目？,流式细胞仪项目，公司，中标,日常问题,招标中标信息
《财政部关于进一步加强政府采购需求和履约验收管理的指导意见》的发布时间是哪一年？,《财政部关于进一步加强政府采购需求和履约验收管理的指导意见》，发布时间,政策文件信息,政策文件信息
高清腹腔镜系统都有哪些品牌？,高清腹腔镜系统，品牌,商品数据,商品数据
保险公司股权管理办法(2018)信息来源是否是上海市？,保险公司股权管理办法(2018)，信息来源，上海市,政策文件信息,政策文件信息
行政事业单位所属企业是否需要向国家上交国有资本经营收益？,行政事业单位所属企业，国有资本经营收益,政策文件信息,政策文件信息
老年人健康体检项目的中标供应商都有哪些？,老年人健康体检项目，中标供应商,招标中标信息,招标中标信息
《财政部关于开展政府采购意向公开工作的通知》的信息来源是什么？,《财政部关于开展政府采购意向公开工作的通知》，信息来源,政策文件信息,政策文件信息
上海市黄浦区淮海中路街道社区卫生服务中心的保安服务项目中标金额是多少？,上海市黄浦区淮海中路街道社区卫生服务中心，保安服务项目，中标金额,招标中标信息,招标中标信息
《不动产拍卖规程》是什么时间发布的？,《不动产拍卖规程》，发布时间,政策文件信息,政策文件信息
你知道我喜欢什么颜色吗？,颜色,日常问题,日常问题
彩色多普勒超声诊断仪的中标金额最低是多少？ ,彩色多普勒超声诊断仪，中标金额,招标中标信息,商品数据
历史上最伟大的科学家是谁？,历史，科学家,日常问题,日常问题
《【碳排放权】上海环境能源交易所碳排放交易违规违约处理办法（试行）》发布时间是什么？,《碳排放权》，上海环境能源交易所，碳排放交易违规违约处理办法（试行），发布时间,政策文件信息,政策文件信息
你能帮我写一首诗吗？,诗,日常问题,日常问题
